1	100	100	85	90	90	60	100	85	50	60	100
1	87	83	89	90	92	80	84	91	82	91	100
1	99	94	97	72	99	52	100	99	57	100	100
2	100	100	100	90	100	100	100	100	100	100	100
1	100	100	100	94	100	100	95	100	98	100	99
1	100	95	100	76	95	96	95	95	91	95	100
2	97	94	99	99	99	94	95	97	92	98	98
1	90	90	100	90	91	92	95	100	95	94	100
1	83	91	97	89	90	95	90	90	95	95	95
1	100	85	100	91	90	100	90	100	100	100	100
1	90	83	95	88	84	54	81	85	50	69	50
1	100	100	100	100	100	90	90	100	100	90	90
1	82	95	95	95	95	95	95	95	90	90	98
1	100	95	95	85	90	90	85	95	95	95	95
2	100	100	99	99	99	96	100	100	99	99	99
2	95	93	96	38	72	33	42	82	28	89	68
1	100	80	100	80	81	60	80	100	60	80	100
1	100	91	100	100	100	85	90	100	100	100	100
2	100	84	87	68	81	73	94	89	71	67	82
1	100	95	100	85	85	80	80	100	80	90	100
1	81	81	96	91	85	86	80	77	93	89	75
1	90	90	90	91	91	92	86	91	90	87	93
1	100	100	100	100	100	100	96	89	100	99	79
1	98	98	98	95	98	82	95	90	100	90	100
1	92	92	92	97	100	44	89	100	50	19	100
1	90	90	90	90	90	90	90	90	90	90	90
1	100	100	100	90	90	67	90	90	67	89	100
2	100	60	100	30	40	50	90	70	30	93	100
1	50	50	75	30	50	50	40	60	50	60	60
2	80	80	90	60	65	65	50	85	85	90	90
1	100	100	100	89	100	80	90	100	78	90	95
1	90	90	80	80	75	66	90	94	60	90	94
1	99	93	100	87	92	99	100	89	86	100	100
1	90	80	80	80	90	80	90	90	80	90	80
1	100	100	100	100	100	90	95	100	95	100	100
1	100	100	100	100	100	90	100	100	100	100	100
2	100	96	100	94	95	100	94	100	100	100	100
1	100	90	100	50	100	71	41	100	80	100	100
2	100	100	100	90	100	82	85	100	82	100	100
2	100	100	100	91	100	100	97	100	100	100	100
1	100	100	100	100	100	100	100	100	100	100	100
1	95	95	95	90	90	95	90	90	90	90	95
1	93	94	96	94	92	94	92	99	99	95	96
1	100	100	100	100	100	100	100	100	100	100	100
1	100	91	97	95	93	99	100	100	100	100	100
1	90	100	100	100	100	100	100	100	100	100	100
2	85	75	84	65	75	70	60	80	84	90	95
1	83	84	82	83	84	82	78	83	82	79	92
2	100	97	100	81	98	100	67	100	100	100	100
1	100	100	100	100	100	50	100	100	60	100	100
1	100	100	100	100	100	95	90	100	100	100	100
2	100	100	100	100	100	100	80	100	100	100	100
1	100	100	100	100	100	100	87	100	100	85	100
1	91	83	81	80	80	80	57	82	82	82	81
1	100	100	100	100	100	100	100	100	100	100	100
2	70	50	70	50	60	50	30	60	50	60	90
1	81	100	100	86	100	100	100	100	100	100	100
1	100	98	100	98	98	95	100	95	90	95	98
1	88	81	91	88	93	95	92	95	95	89	92
2	80	80	96	82	76	62	71	78	69	73	94
2	100	85	85	70	85	70	90	90	70	85	100
1	80	100	100	76	88	76	89	100	81	100	100
1	90	90	100	80	90	90	80	90	90	90	90
2	93	98	94	96	99	90	91	93	96	87	97
1	100	100	100	91	100	100	91	100	100	94	100
1	85	75	85	85	71	85	74	75	86	85	99
1	100	77	100	52	50	53	51	31	37	42	100
1	100	100	85	50	100	85	100	100	85	100	95
1	85	84	83	65	78	80	75	78	76	77	81
1	100	90	100	100	100	100	100	90	100	100	100
2	65	50	65	50	40	75	65	40	75	50	100
1	100	100	100	100	100	100	100	100	100	100	100
1	100	95	100	100	100	80	70	95	80	100	100
1	90	80	75	70	75	75	75	75	80	65	70
2	92	100	100	100	100	75	85	100	90	85	100
1	85	70	91	86	76	71	90	70	60	50	70
1	100	90	100	94	90	84	90	95	90	100	100
1	94	92	85	76	85	88	88	90	91	87	96
2	100	100	100	98	100	98	95	100	100	100	100
1	100	70	90	74	76	66	75	80	96	81	92
1	82	84	100	83	100	100	83	100	100	100	100
2	100	87	100	60	75	87	84	81	83	100	100
1	77	88	87	88	85	58	75	84	62	47	82
1	91	92	92	89	90	90	90	90	90	90	91
1	100	95	95	50	85	100	75	85	100	90	100
2	100	60	100	82	54	60	61	77	79	88	86
1	90	80	80	75	85	85	80	90	90	95	95
1	100	82	100	75	75	50	75	75	25	50	100
1	90	90	90	80	85	80	80	85	85	90	95
1	85	85	90	85	75	75	70	80	80	85	86
1	98	89	94	94	93	92	92	93	93	95	100
1	100	100	100	100	100	100	100	100	100	99	99
1	100	100	100	100	100	100	100	100	100	100	100
2	100	100	100	97	100	90	100	100	100	100	95
1	100	84	100	95	69	80	95	79	87	86	72
1	90	91	90	80	93	80	95	91	82	92	90
2	96	95	98	94	94	94	94	95	95	96	99
1	100	90	100	75	90	95	95	95	95	90	95
1	95	100	95	100	100	100	100	95	100	100	100
2	100	90	80	60	70	60	50	80	60	80	80
2	100	63	75	72	68	82	37	61	85	76	82
2	96	84	65	84	91	70	88	70	58	81	85
1	100	100	100	100	100	100	100	100	100	100	100
1	100	93	100	89	89	100	91	100	100	100	100
1	100	100	100	100	100	100	100	100	100	100	100
1	84	87	90	89	80	79	84	84	86	91	97
2	69	75	83	74	80	65	78	87	70	76	100
1	100	95	100	90	98	100	85	95	100	98	100
1	100	100	100	100	100	100	100	100	100	100	100
1	100	100	100	100	100	100	100	100	100	100	100
1	100	75	62	50	50	35	76	67	50	52	70
2	96	95	95	93	96	83	78	95	88	88	100
1	90	90	89	87	91	91	95	94	100	95	100
1	100	100	100	90	100	100	100	100	100	100	100
2	100	51	100	40	41	66	80	70	40	45	100
1	80	65	81	63	69	97	17	46	98	52	50
1	70	20	80	20	20	40	20	20	20	10	70
1	100	85	100	85	91	91	93	86	89	80	100
1	83	91	71	51	84	5	93	85	44	86	100
1	100	100	100	100	100	85	90	100	100	100	100
1	82	95	82	34	65	91	75	94	88	49	66
1	100	90	100	90	90	80	80	90	80	90	80
